school_name,state,number_of_ratings,facilities,location,happiness,opportunities,clubs,social,safety,food,internet
Cedarville University,Ohio,184.0,4.4,3.2,4.3,4.1,3.7,4.0,4.9,3.4,3.8
Centenary College of Louisiana,Louisiana,26.0,3.7,3.1,3.2,3.6,3.6,3.2,2.3,2.0,3.0
Central Baptist College,Arkansas,4.0,4.3,4.5,4.0,4.0,3.0,3.0,4.7,3.8,3.3
Central Connecticut State University,Connecticut,348.0,3.4,3.3,3.4,3.2,3.2,2.8,3.6,2.5,3.2
Central Bible College,Missouri,4.0,2.8,3.3,4.5,3.3,3.5,3.8,3.9,2.0,2.5
Central College,Iowa,40.0,4.0,3.2,3.7,3.8,3.1,3.1,4.4,3.2,3.0
Central Methodist University,Missouri,14.0,3.8,3.1,4.0,3.4,3.9,3.6,4.6,3.1,3.8
Central Washington University,Washington,375.0,4.1,3.5,3.9,3.6,3.5,3.5,4.3,3.3,3.2
Central Michigan University,Michigan,713.0,4.1,3.5,4.2,4.0,3.9,4.1,4.0,3.4,3.6
University of Central Missouri,Missouri,294.0,3.9,3.4,4.0,3.7,3.5,3.6,3.9,3.0,3.2
Centre College,Kentucky,91.0,4.1,3.0,3.8,4.0,3.7,3.6,4.1,2.7,3.9
Chadron State College,Nebraska,32.0,3.4,2.8,3.5,3.1,2.9,3.0,4.9,2.5,2.8
Chaminade University,Hawaii,60.0,3.5,3.6,3.7,3.5,3.2,3.1,4.3,2.5,3.0
Champlain College,Vermont,139.0,4.0,4.5,3.9,4.2,3.4,3.2,4.0,2.5,3.6
Chapman University,California,250.0,4.5,4.3,4.3,4.2,3.8,3.9,4.5,3.6,4.1
Charter Oak State College,Connecticut,12.0,3.9,4.3,4.4,4.3,3.5,3.5,4.7,3.5,4.7
Charleston Southern University,South Carolina,162.0,3.2,3.8,3.5,3.5,2.9,3.0,4.3,2.4,2.6
Chatham University,Pennsylvania,64.0,3.7,4.4,3.4,3.5,3.0,2.9,4.3,2.8,3.1
The Chicago School of Professional Psychology,Illinois,32.0,3.7,4.0,3.5,3.3,2.8,3.0,3.1,2.9,3.3
Cheyney University,Pennsylvania,14.0,2.9,3.3,2.8,2.9,2.2,2.4,4.1,2.4,2.8
Chicago State University,Illinois,59.0,3.2,3.2,2.8,2.9,2.8,2.7,2.6,2.5,2.8
Christian Brothers University,Tennessee,167.0,2.1,2.3,2.3,2.4,2.1,2.1,1.9,1.9,2.2
Christopher Newport University,Virginia,405.0,4.6,3.7,4.1,4.0,3.9,3.7,4.1,3.4,3.1
